1 1 10
1 2 5
1 3 2
1 4 0
1 5 0
1 9 0
1 10 0
1 11 0
1 12 0
2 1 5
2 2 10
2 3 5
2 4 2
2 5 0
2 9 0
2 10 0
2 11 0
2 12 0
3 1 2
3 2 5
3 3 10
3 4 5
3 5 2
3 9 0
3 10 0
3 11 0
3 12 0
4 1 0
4 2 2
4 3 5
4 4 10
4 5 5
4 9 0
4 10 0
4 11 0
4 12 0
5 1 0
5 2 0
5 3 2
5 4 5
5 5 10
5 9 0
5 10 0
5 11 0
5 12 0
9 1 0
9 2 0
9 3 0
9 4 0
9 5 0
9 9 10
9 10 5
9 11 2
9 12 0
10 1 0
10 2 0
10 3 0
10 4 0
10 5 0
10 9 5
10 10 10
10 11 5
10 12 2
11 1 0
11 2 0
11 3 0
11 4 0
11 5 0
11 9 2
11 10 5
11 11 10
11 12 5
12 1 0
12 2 0
12 3 0
12 4 0
12 5 0
12 9 0
12 10 2
12 11 5
12 12 10
